"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20190923014469I","23-SEP-19","KINGSTON","NY","KINGSTON-ULSTER","INCIDENT","MINOR","LANDING: ROLLOUT","CULVER","LFA","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","41630","0","0","FRANKL","O-175","4AC176","1","COMMERCIAL PILOT","5700","8","8",""
"20190923015619I","23-SEP-19","COLUMBUS","OH","PORT COLUMBUS INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","SOCATA","TBM700","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","4920Y","0","0","P&W","PT6A SER","","","COMMERCIAL PILOT","","","",""
"20190923017081I","23-SEP-19","CHICAGO","IL","CHICAGO MIDWAY INTL","INCIDENT","MINOR","TAXI","DASSAULT","FALCON900EX","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","8100E","0","0","GARRET","TFE731 SERIES","TFE731","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","23500","6500","50",""
"20190924013609I","24-SEP-19","COLLEGEDALE","TN","COLLEGEDALE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","260","","","GENERAL OPERATING RULES","","8851P","0","0","LYCOMI","TI0-540 SER","","","COMMERCIAL PILOT","3800","50","16",""
"20190925008979I","25-SEP-19","OXNARD","CA","OXNARD","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","180","","","GENERAL OPERATING RULES","","400JW","0","0","LYCOMI","O&VO-360 SER","","","STUDENT","146","140","33",""
"20190925013679I","25-SEP-19","JAMAICA","NY","JOHN F KENNEDY INTL","INCIDENT","MINOR","GROUND-RAMP","EMBRAER","EMB135","KL","ENVOY AIR INC","","AIR CARRIER/COMMERCIAL","","855AE","0","3","ALLISO","AE 3007A1/3","","","","","","",""
"20190925013719I","25-SEP-19","CLEARWATER","FL","CLEARWATER AIR PARK","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","49SB","0","0","","","","","PRIVATE PILOT","483","","",""
"20190925014459I","25-SEP-19","ALBANY","OR","ALBANY MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","180","","","GENERAL OPERATING RULES","","8472W","0","0","LYCOMI","O&VO-360 SER","","","STUDENT","41","30","30",""
"20190925021149I","25-SEP-19","GUSTAVUS","AK","GUSTAVUS","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20C","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","7894V","0","0","LYCOMI","O&VO-360 SER","","1","PRIVATE PILOT","1100","600","85",""
"20190926013729I","26-SEP-19","SOUTH BEND","IN","SOUTH BEND","INCIDENT","MINOR","TAXI","PIPER","PA28","181","","","GENERAL OPERATING RULES","","28AU","0","0","LYCOMI","O-360-A4M","A4M","","PRIVATE PILOT","137","55","33",""
"20190926018289I","26-SEP-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","MINOR","UNKNOWN","CESSNA","172","S","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","479ER","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT","581","","",""
"20190926018309I","26-SEP-19","BELLINGHAM","WA","BELLINGHAM INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA34","220T","","","GENERAL OPERATING RULES","","4143N","0","0","CONT M","TSIO-360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","9000","75","45",""
"20190926019039I","26-SEP-19","LODI","CA","LODI","INCIDENT","NONE","UNKNOWN","DE HAVILLAND","DHC6","100","","","PARACHUTE JUMPING","","73WD","1","0","P&W","PT6SER TP","","","UNKNOWN/FOREIGN","","","",""
"20190927013739I","27-SEP-19","PEMBROKE PINES","FL","NORTH PERRY","INCIDENT","SUBSTANTIAL","TAXI","PIPER","PA34","200","","","PILOT SCHOOLS","","444SA","0","0","LYCOMI","I0360 SER","C1E6","","","","","",""
"20190927014429I","27-SEP-19","TAMPA","FL","TAMPA INTL","INCIDENT","NONE","TAXI","BOMBARDIER","CL600 2D24","900","ENDEAVOR AIR","","AIR CARRIER/COMMERCIAL","","292PQ","0","1","GE","CF34-8C5","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","3860","2349","147",""
"20190927018329I","27-SEP-19","CARROLLTON","GA","WEST GEORGIA RGNL - O V GRAY FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","MAULE","MX7","180C","","","GENERAL OPERATING RULES","","599ZZ","0","0","LYCOMI","O-360-C1F","","","PRIVATE PILOT","341","","",""
"20190927018339I","27-SEP-19","ROCHESTER","MN","ROCHESTER INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","201T","","","GENERAL OPERATING RULES","","777CD","0","0","CONT M","TSIO-360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6635","120","22",""
"20190927018589I","27-SEP-19","TAOS","NM","TAOS RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","210","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","467DH","0","0","CONT M","I0-470 SERIES","","1","PRIVATE PILOT","215","37","22",""
"20190927018659I","27-SEP-19","KALISPELL","MT","KALISPELL CITY","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA18","150","","","GENERAL OPERATING RULES","","4158L","0","0","LYCOMI","0-320 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","25700","390","4",""
"20190928018369I","28-SEP-19","BENTON","AR","SALINE COUNTY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","33","F33A","","","GENERAL OPERATING RULES","","321DB","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20190928018372I","28-SEP-19","GAINESVILLE","FL","GAINESVILLE RGNL","INCIDENT","MINOR","RUN-UP AREA","PIPER","PA28","140","","","GENERAL OPERATING RULES","","175AS","0","0","LYCOMI","0-320 SERIES","","","STUDENT","75","61","11",""
"20190928018572I","28-SEP-19","GAINESVILLE","FL","GAINESVILLE RGNL","INCIDENT","MINOR","TAXI","CESSNA","560","UNDESIGNATED SERIES","GULF ATLANTIC AIRWAYS INC","","AIR TAXI/COMMUTER","","860CR","0","0","P&W CA","JT15D 5 SER","","2","PRIVATE PILOT FLIGHT INSTRUCTOR","4200","1500","150",""
"20190929013759I","29-SEP-19","","NJ","ROBERT J. MILLER AIR PARK","INCIDENT","MINOR","TAXI","CESSNA","210","G","","","GENERAL OPERATING RULES","","5850F","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","1624","449","12",""
"20190930014419I","30-SEP-19","JACKSONVILLE","FL","JACKSONVILLE EXECUTIVE AT CRAIG","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","172","N","ATP","","PILOT SCHOOLS","","7111N","0","0","LYCOMI","0-320 SERIES","","1","","224","","",""
"20190930018399I","30-SEP-19","NORTH MYRTLE BEACH","SC","GRAND STRAND","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","T210","L","","","GENERAL OPERATING RULES","","21AN","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","1400","","",""
"20190930018409I","30-SEP-19","LAURINBURG","NC","LAURINBURG-MAXTON","INCIDENT","NONE","TAKEOFF: CLIMB OUT","PIPER","PA32RT","300T","","","GENERAL OPERATING RULES","","39506","0","0","LYCOMI","TI0-540 SER","","","PRIVATE PILOT","684","155","59",""
"20191001010219I","01-OCT-19","CHESTERFIELD","MO","SPIRIT OF ST LOUIS","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","448EM","0","0","","","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","26000","160","5",""
"20191001019709I","01-OCT-19","ELKHART","IN","ELKHART MUNI","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BEECH","400","A","","","GENERAL OPERATING RULES","","590TM","0","0","WILLIA","FJ44-3AP","","2","AIRLINE TRANSPORT","12000","","",""
"20191001019719I","01-OCT-19","BRADFORD","PA","BRADFORD RGNL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","GRUMMAN","TBM3","E","","","GENERAL OPERATING RULES","","81865","0","0","WRIGHT","R-2600 SER","","","","","","",""
"20191002018709I","02-OCT-19","HOBBS","NM","LEA COUNTY RGNL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","182","R","","","GENERAL OPERATING RULES","","9840A","0","0","CONT M","O-470 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20191003013789I","03-OCT-19","VERO BEACH","FL","VERO BEACH MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA34","200","PARIS AIR CHARTER INC","","PILOT SCHOOLS","","43519","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT","2100","","",""
"20191003013819I","03-OCT-19","GREER","SC","GREENVILLE SPARTANBURG INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","EMBRAER","EMB505","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","168J","0","0","","","","","","7950","","",""
"20191004018729I","04-OCT-19","HOMESTEAD","FL","","INCIDENT","NONE","LANDING: APPROACH","CESSNA","172","N","","","GENERAL OPERATING RULES","","3YE","0","0","LYCOMI","0-320 SERIES","UNK","1","PRIVATE PILOT","200","","",""
"20191004018739I","04-OCT-19","WACO","TX","MC GREGOR EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","BELLANCA","1419","3","","","GENERAL OPERATING RULES","","16LS","0","0","CONT M","I0-470 SERIES","","","PRIVATE PILOT","1800","","1",""
"20191005014369I","05-OCT-19","LYNWOOD","IL","LANSING MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","ROBINSON","R44","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","21TP","0","0","LYCOMI","IO-540-AE1A5","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","270","40","12",""
"20191006014359I","06-OCT-19","WAUKESHA","WI","WAUKESHA COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","96GF","0","0","LYCOMI","O-320-E2A","","","PRIVATE PILOT","270","70","19",""
"20191006018779I","06-OCT-19","MARINA","CA","WATSONVILLE MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","789LP","0","0","TURBOM","ARRIEL 2D","","1","COMMERCIAL PILOT","665","224","21",""
"20191006019409I","06-OCT-19","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","310","R","","","GENERAL OPERATING RULES","","4941A","0","0","CONT M","IO 520 SERIES","","2","","","","",""
"20191007015389I","07-OCT-19","HEREFORD","TX","HEREFORD MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20F","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6306Q","0","0","LYCOMI","I0360 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","848","1","19",""
"20191007016999I","07-OCT-19","HIGGINSVILLE","MO","HIGGINSVILLE INDUSTRIAL MUNI","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","172","R","UNIVERSITY OF CENTRAL MISSOURI","","PILOT SCHOOLS","","465CM","0","0","LYCOMI","I0360 SER","L2A","1","PRIVATE PILOT","251","","",""
"20191007018799I","07-OCT-19","NEWARK","NJ","NEWARK LIBERTY INTL","INCIDENT","MINOR","GROUND-RAMP","GULFSTREAM","GV","SP G550","","","GENERAL OPERATING RULES","","667P","0","0","ROLLS-","BR 700 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","9056","2500","85",""
"20191007019419I","07-OCT-19","WAUKEGAN","IL","WAUKEGAN RGNL","INCIDENT","MINOR","GROUND-RAMP","CESSNA","182","R","","","GENERAL OPERATING RULES","","54BK","0","0","CONT M","O-470 SERIES","","1","PRIVATE PILOT","251","139","29",""
"20191010014319I","10-OCT-19","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","172","R","","","GENERAL OPERATING RULES","","2475L","0","0","LYCOMI","I0360 SER","","1","","","","",""
"20191010019631I","10-OCT-19","ASHEVILLE","NC","ASHEVILLE RGNL","INCIDENT","MINOR","GROUND-RAMP","BOMBARDIER","BD100 1A10","NO SERIES EXISTS","NETJETS AVIATION INC","","","","774QS","0","0","HONEYW","AS907-2-1A","","","AIRLINE TRANSPORT","6523","48","48",""
"20191011015379I","11-OCT-19","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA34","200","","","GENERAL OPERATING RULES","","15789","0","0","LYCOMI","I0360 SER","","","","","","",""
"20191011019369I","11-OCT-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","172","S","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","416ER","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","360","","",""
"20191011019489I","11-OCT-19","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","NONE","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","818EP","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","225","225","70",""
"20191011019499I","11-OCT-19","WHEELING","IL","CHICAGO EXECUTIVE","INCIDENT","MINOR","TAXI","CESSNA","T210","M","","","GENERAL OPERATING RULES","","19FB","0","0","CONT M","TSIO-520 SER","","1","COMMERCIAL PILOT","4700","1600","35",""
"20191011019509I","11-OCT-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","172","S","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","404ER","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT","1400","","",""
"20191012014289I","12-OCT-19","LAFAYETTE","IN","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","172RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6330V","0","0","","","","1","","","","",""
"20191012015369I","12-OCT-19","GREER","SC","GREENVILLE SPARTANBURG INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CIRRUS","SR22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","240MB","0","0","CONT M","IO-550-N","","1","PRIVATE PILOT","6435","3784","68",""
"20191012016049I","12-OCT-19","SMYRNA","TN","SMYRNA","INCIDENT","MINOR","TAKEOFF: ROTATION","MOONEY","M20R","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9159Q","0","0","CONT M","IO-550 SERIES","","1","PRIVATE PILOT","550","","",""
"20191012019529I","12-OCT-19","SKIATOOK","OK","","INCIDENT","MINOR","TAKEOFF: DEPARTURE","LAKE","LA4","200","","","GENERAL OPERATING RULES","","1071L","0","0","LYCOMI","I0360 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","3912","124","39",""
"20191013017139I","13-OCT-19","CHUGIAK","AK","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","ENSTROM","F28","A","","","GENERAL OPERATING RULES","","286Q","0","0","","","","","COMMERCIAL PILOT","2500","10","64",""
"20191013017459I","13-OCT-19","NASHVILLE","TN","NASHVILLE INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","205MK","0","0","LYCOMI","I0360 SER C","","1","","","","",""
"20191014014249I","14-OCT-19","VERO BEACH","FL","VERO BEACH MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA44","180","FLIGHT SAFETY INTERNATIONAL INC","","PILOT SCHOOLS","","7702B","0","0","LYCOMI","O-360 SERIES","","","COMMERCIAL PILOT","620","","",""
"20191014014279I","14-OCT-19","","MI","ANDREWS UNIVERSITY AIRPARK","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA28R","200","","","PILOT SCHOOLS","","404SE","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT","2400","","",""
"20191014015359I","14-OCT-19","JACKSON","TN","MC KELLAR-SIPES RGNL","INCIDENT","NONE","LANDING: TOUCHDOWN","CESSNA","172","L","","","PILOT SCHOOLS","","19701","0","0","LYCOMI","0-320 SERIES","","1","STUDENT","32","32","32",""
"20191014019609I","14-OCT-19","WASHINGTON","DC","RONALD REAGAN WASHINGTON NATIONAL","INCIDENT","MINOR","GROUND-RAMP","BOMBARDIER","CL600 2C10","700","PSA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","522AE","0","0","GE","CF34","8C5B1","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3219","1121","72",""
"20191014019619I","14-OCT-19","PLYMOUTH","MI","CANTON-PLYMOUTH-METTETAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","59RB","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","121","40","16",""
"20191015019199I","15-OCT-19","GREYBULL","WY","SOUTH BIG HORN COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","310","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","223H","0","0","CONT M","O-470 SERIES","","2","","","","",""
"20191015019679I","15-OCT-19","SPRINGDALE","AR","NORTHWEST ARKANSAS RGNL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","35","H35","","","GENERAL OPERATING RULES","","1110C","0","0","CONT M","O-470 SERIES","","1","","","","",""
"20191015019899I","15-OCT-19","POMPANO BEACH","FL","POMPANO BEACH AIRPARK","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA32R","301T","","","GENERAL OPERATING RULES","","30144","0","0","LYCOMI","TIO 540 SER","","","PRIVATE PILOT","","","",""
"20191016018919I","16-OCT-19","RICHMOND","VA","RICHMOND INTL","INCIDENT","MINOR","LANDING: ROLLOUT","","","","SKY ONE HOLDINGS LLC","","GENERAL OPERATING RULES","","720TM","0","0","HONEYW","TFE731-5BR","","","","","","",""
"20191016019689I","16-OCT-19","CHARLOTTE","NC","CHARLOTTE/DOUGLAS INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CIRRUS","SR22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","434CD","0","0","","","","1","PRIVATE PILOT","344","225","33",""
"20191016020639I","16-OCT-19","GLENDALE","AZ","GLENDALE MUNI","INCIDENT","MINOR","TAXI","","","","","","GENERAL OPERATING RULES","","765RC","0","0","ROTAX","912ULS2","","","PRIVATE PILOT","800","","",""
"20191017009299I","17-OCT-19","MYRTLE BEACH","SC","GRAND STRAND","INCIDENT","MINOR","LANDING: APPROACH","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","1058R","0","0","CONT M","IO-550 SERIES","","2","COMMERCIAL PILOT","1750","","",""
"20191017009949I","17-OCT-19","RUTHERFORDTON","NC","RUTHERFORD CO - MARCHMAN FIELD","INCIDENT","MINOR","TAKEOFF: ROTATION","CESSNA","195","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","689TH","0","0","","","","1","AIRLINE TRANSPORT","8200","","",""
"20191017019329I","17-OCT-19","RALEIGH","NC","RALEIGH","INCIDENT","MINOR","LANDING: ROLLOUT","MAULE","MXT7","180","","","GENERAL OPERATING RULES","","32550","0","0","LYCOMI","O-360-C1F","","","PRIVATE PILOT","327","34","16",""
"20191017020129I","17-OCT-19","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","MINOR","TAXI","CESSNA","172","M","","","PILOT SCHOOLS","","12679","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","326","240","14",""
"20191017020179I","17-OCT-19","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","140","","","GENERAL OPERATING RULES","","15888","0","0","LYCOMI","0-320 SERIES","","","STUDENT","59","35","14",""
"20191017021069I","17-OCT-19","SHELL LAKE","WI","SHELL LAKE MUNI","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","","","","","","GENERAL OPERATING RULES","","475CR","0","0","ROTAX","912UL SERIES","","","PRIVATE PILOT","696","59","6",""
"20191018020209I","18-OCT-19","DES MOINES","IA","DES MOINES INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","EMBRAER","EMB145","EP","IBC AIRWAYS INC","","AIR TAXI/COMMUTER","","261BC","0","0","ALLISO","AE 3007A","","","","","","",""
"20191018020229I","18-OCT-19","LUBBOCK","TX","LUBBOCK PRESTON SMITH INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA30","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","333SN","0","0","LYCOMI","IO-320 SERIES","","","PRIVATE PILOT","66","18","15",""
"20191019020239I","19-OCT-19","SANFORD","FL","ORLANDO SANFORD INTL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","S","","","GENERAL OPERATING RULES","","565ND","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","438","218","23",""
"20191019020249I","19-OCT-19","ORLANDO","FL","EXECUTIVE","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","152","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","455GB","0","0","LYCOMI","O-235-C1","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","980","23","20",""
"20191020020269I","20-OCT-19","CONYERS","GA","WHISPERING PINES","INCIDENT","MINOR","TAKEOFF: ROTATION","","","","","","GENERAL OPERATING RULES","","893EC","0","0","LYCOMI","IO-360-A1A","","","COMMERCIAL PILOT","1309","207","",""
"20191020020279I","20-OCT-19","","FL","SANFORD","INCIDENT","NONE","TAXI","CESSNA","172","S","","","PILOT SCHOOLS","","1154W","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT","625","","",""
"20191020020299I","20-OCT-19","NORTH LAS VEGAS","NV","NORTH LAS VEGAS","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","A36","","","GENERAL OPERATING RULES","","63TC","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","400","",""
"20191021018419I","21-OCT-19","CRISFIELD","MD","CRISFIELD MUNI","INCIDENT","SUBSTANTIAL","TAKEOFF: CLIMB OUT","PIPER","PA28R","180","","","GENERAL OPERATING RULES","","7484J","0","0","LYCOMI","I0360 SER","","","","","","",""
"20191021018909I","21-OCT-19","NEWPORT NEWS","VA","NEWPORT NEWS/WILLIAMSBURG INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","344AX","0","0","ROLLS-","AVON MK207","","","COMMERCIAL PILOT","","","",""
"20191021020329I","21-OCT-19","FRESNO","CA","FRESNO YOSEMITE INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","SOCATA","TBM700","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","852AM","0","0","P&W","PT6A66D","","","AIRLINE TRANSPORT","23500","300","40",""
"20191021020609I","21-OCT-19","DENTON","TX","DENTON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","152","NO SERIES EXISTS","US AVIATION","","GENERAL OPERATING RULES","","757HY","0","0","LYCOMI","0-235 SERIES","L-2C","1","PRIVATE PILOT","131","90","41",""
"20191022017149I","22-OCT-19","NIKISKI","AK","","INCIDENT","MINOR","TAXI","CESSNA","180","H","","","GENERAL OPERATING RULES","","7904V","0","0","","","","1","COMMERCIAL PILOT","18000","200","50",""
"20191022017699I","22-OCT-19","CHATTANOOGA","TN","LOVELL FIELD","INCIDENT","SUBSTANTIAL","TAXI","CESSNA","172","P","","","GENERAL OPERATING RULES","","55197","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","422","114","14",""
"20191022020349I","22-OCT-19","NAPLES","FL","NAPLES MUNI","INCIDENT","SUBSTANTIAL","CRUISE-LEVEL FLIGHT","BELL","OH58C","NO SERIES EXISTS","COLLIER COUNTY SHERIFFS OFFICE","","GENERAL OPERATING RULES","","158LE","0","0","","","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","8000","804","70",""
"20191022020359I","22-OCT-19","SIOUX FALLS","SD","JOE FOSS FIELD","INCIDENT","MINOR","GROUND-RAMP","BOMBARDIER","CL600 2C10","700","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","760EV","0","0","GE","CF34 SERIES","CF-34-","","","","","",""
"20191024018439I","24-OCT-19","ANNAPOLIS","MD","LEE","INCIDENT","MINOR","TAXI","CESSNA","172","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","7040A","0","0","CONT M","0-300 SER","","1","","","","",""
"20191024020389I","24-OCT-19","POMPANO BEACH","FL","POMPANO BEACH AIRPARK","INCIDENT","NONE","LANDING: ROLLOUT","AERO VODOCHODY","L39","C","","","GENERAL OPERATING RULES","","711LC","0","0","AMA/EX","UNKNOWN ENG","","1","PRIVATE PILOT","4473","675","99",""
"20191024020399I","24-OCT-19","LITTLEROCK","AR","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","GULFSTREAM","GIV","UNDESIGNATED SERIES","WORLD WIDE JET CHARTER INC","","AIR TAXI/COMMUTER","","310","0","0","ROLLS-","TAY 611SER","611-8","","","","","",""
"20191024020409I","24-OCT-19","NAMPA","ID","NAMPA MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","5336W","0","0","LYCOMI","0-320 SERIES","","","STUDENT","40","40","10",""
"20191025020429I","25-OCT-19","SPARTA","WI","SPARTA/FORT MC COY","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5897Q","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","2059","","4",""
"20191030020509I","30-OCT-19","BISMARCK","ND","BISMARCK MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","AVIAT","A1","C200","","","GENERAL OPERATING RULES","","15WY","0","0","","","","","","","","",""
"20191030020519I","30-OCT-19","KINGWOOD","TX","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","MBB","BK117","C1","MEMORIAL HERMANN HEALTH SYSTEM","","AIR TAXI/COMMUTER","","453MH","0","0","TURBOM","ARRIEL 1E2","","","AIRLINE TRANSPORT","7000","","",""
"20191031017219I","31-OCT-19","JUNCTION CITY","KS","FREEMAN FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","55","95B55","","","GENERAL OPERATING RULES","","228PL","0","0","CONT M","I0-470 SERIES","","","COMMERCIAL PILOT","917","","",""
