Acronym,acronym,Fullform4,Fullform5,Fullform6,link2
LIH,lih,Light Intensity High,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LIL,lil,Light Intensity Low,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LIM,lim,Light Intensity Medium,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LIOL,liol,Low Intensity Obstacle Lights,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LIRL,lirl,Low Intensity Runway Lights,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LJR,ljr,Low Jet Route,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LL,ll,Lower Limit,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LLN,lln,Low-level Navigation (by the MIL),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LLO,llo,Low Level Operations (by the MIL),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LLZ,llz,Localizer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LM,lm,Locator (middle),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LMT,lmt,Local mean time,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LO,lo,Locator (outer),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LOC,loc,"Locally, Location, Located, Local",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LOE,loe,Lane of Entry,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LONG,long,Longitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LOSA,losa,Line Operations Safety Audit,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LPT,lpt,Liquid Penetrant Test,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LRCS,lrcs,Long-range communication system,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LRG,lrg,Long Range,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LRI,lri,Line Replaceable Item,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LRNS,lrns,Long-range navigation system,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LRU,lru,Line Replaceable Unit,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LSA,lsa,Light Sport Aircraft,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LSALT,lsalt,Lowest safe altitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LSd,lsd,CASA's Legal Services Division,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LTD,ltd,Limited,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LUL,lul,Lowest Usable Level,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LV,lv,Light and Variable (relating to wind),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LVE,lve,"Leave, Leaving",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LVL,lvl,Level,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LYR,lyr,"Layer, Layered",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
M,m,Mach number (followed by figures ie .02 = Mach .02),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
M (m),m (m),Metres (preceded by figures),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
M/E,m/e,Multi-engine,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAAT,maat,Manual Authoring and Assessment Tool,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAE,mae,Men and Equipment,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAG,mag,Magnetic,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAHWP,mahwp,Missed Approach Holding Way-point,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAINT,maint,Maintenance,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAN,man,Manual,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAP,map,Aeronautical Maps and Charts,Manifold Air Pressure,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAPT,mapt,Missed Approach Point,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAR,mar,At Sea,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAUW,mauw,Maximum All Up Weight,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAWP,mawp,Missed Approach Waypoint,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MAX,max,Maximum,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MBST,mbst,Microburst,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MBZ,mbz,Mandatory Broadcast Zone,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MCC,mcc,Multi-crew Co-ordination,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MCM,mcm,Maintenance control manual,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MCQFS,mcqfs,Manual of criteria for the qualification of flight simulators               ICAO Doc 9625-AN/938,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MCUR,mcur,Mean Cycles Between Unscheduled Removals,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MCW,mcw,Modulated Continuous Wave,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MDA,mda,Minimum Descent Altitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MDF,mdf,Medium Frequency Direction Finding Station,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MDR,mdr,Major Defect Report,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MEA,mea,Minimum En-route Altitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MED,med,Medical,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MEL,mel,Minimum equipment list,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MERSITAB,mersitab,"Manufacturing, Engineering and Related Services Industry Training Advisory Body",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MET,met,"Meteorological, Meteorology",REPORT Aviation routine weather report,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
METAR,metar,Aviation routine weather report (in aeronautical meteorological code),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
METRAD,metrad,MET Radar,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MF,mf,Medium Frequency (300 to 3000 KHZ),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MHZ (mhz),mhz (mhz),Megahertz,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MIFG,mifg,Shallow Fog,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MIL,mil,Military,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MIL-STD,mil-std,Military Standard,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MIN,min,Minutes,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MIOL,miol,Medium Intensity Obstacle Lights,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MIRL,mirl,Medium Intensity Runway Lights,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MISC,misc,Miscellaneous,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MKR,mkr,Marker Radio Beacon,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MLJ,mlj,Military Low Jet,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MLJR,mljr,Military Low Jet Route,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MLS,mls,Microwave Landing System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MLW,mlw,Maximum Landing Weight,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MM,mm,Middle Marker,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MMEL,mmel,Master minimum equipment list,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MNM,mnm,Minimum,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MNT,mnt,"Monitor, Monitoring,",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MNTN,mntn,"Maintain, Maintained, Maintaining",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MOA,moa,Military Operating Area,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MOC,moc,Minimum obstacle clearance (required),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MOD,mod,"Moderate, Moderately",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MON,mon,Above Mountains,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MOPS,mops,Minimum Operational Performance Standards,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MOS,mos,Manual of Standards,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MOU,mou,Memorandum of understanding,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MOV,mov,"Move, Moved, Moving, Movement",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MOWP,mowp,Method of Working Plan,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MPD,mpd,Maintenance Planning Data,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MPI,mpi,Magnetic Particle Inspection,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MPL,mpl,Multi-crew Pilot Licence,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MPS,mps,Metres per Second,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MPT,mpt,Magnetic Particle Inspection Technician,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MRB,mrb,Maintenance Review Board,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MRBR,mrbr,Maintenance Review Board Report,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MRG,mrg,Medium Range,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MRO,mro,"Maintenance, repair and overhaul",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MRP,mrp,ATS/MET Reporting Point,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MS,ms,Minus,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MSA,msa,Minimum sector altitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MSAS,msas,Multi-function Transport Satellite (MTSAT) Satellite-based Augmentation System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MSDS,msds,Material Safety Data Sheets,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MSG,msg,Message,Maintenance Steering Group,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MSG-3,msg-3,Maintenance Steering Group Logic Process,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MSI,msi,Maintenance Significant Item,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MSL,msl,Mean Sea Level,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MSOS,msos,Maintenance specific operation specification,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MSSR,mssr,Monopulse Secondary Surveillance Radar,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MT,mt,Mountain,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTBF,mtbf,Mean Time Between Failure,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTBR,mtbr,Mean Time Between Removals,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTBUR,mtbur,Mean Time Between Unscheduled Removals,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTO,mto,Maintenance training organisation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTOW,mtow,Maximum take-off weight,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTP,mtp,Maximum Tyre Pressure,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTSAT,mtsat,Multi-function Transport Satellite,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTTF,mttf,Mean Time To Failure,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTTR,mttr,Mean Time To Repair,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTTUR,mttur,Mean Time To Unscheduled Removal,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTUR,mtur,Special Term For Data Transmittal,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MTW,mtw,Mountain waves,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MVA,mva,Minimum Vector Altitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MWO,mwo,Meteorological Watch Office,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
MX,mx,Mixed type of ice formation (white and clear),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
N,n,"North, North Latitude",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
N1,n1,Gas Generator Speed,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
N2,n2,Second Stage Turbine Speed,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NAA,naa,National Airworthiness Authority (for a country other than Australia),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NAD,nad,Non-acqueous Developer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NAIPS,naips,National aeronautical information processing system,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NANDTB,nandtb,National Aerospace Non-destructive Testing Board,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NANU,nanu,Notice Advisory to NavStar Users,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NAP,nap,Noise Abatement Procedures,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NAS,nas,National Airspace System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NASC,nasc,National AIS System Centre,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NAT,nat,NAVAID Training,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NAV,nav,Navigation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NAVAID,navaid,Navigation Aid,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NAWD,nawd,Non-acqueous Wet Developer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NB,nb,Northbound,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NBFR,nbfr,Not Before,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NC,nc,No Change,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NDB,ndb,Non-directional Radio Beacon,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NDI,ndi,Non-destructive inspection,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NDT,ndt,Non-destructive testing,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NE,ne,Northeast,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NEG,neg,"Negative, No. Permission not granted or, That is not correct",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NFRM,nfrm,Notice of Final Rule Making,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NG,ng,Gas Generator Speed,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NGT,ngt,Night,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NIL,nil,None,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NM,nm,Nautical Miles,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NML,nml,Normal,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NNE,nne,North North-East,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NNW,nnw,North North-West,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NOF,nof,International NOTAM Office,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NOSIG,nosig,No Significant Change,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NOTAM,notam,Notice To Airmen,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NOZ,noz,Normal Operating Zone,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NP,np,Propeller Speed,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NPA,npa,Non-precision approach (procedures at aerodromes),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NPC,npc,Notice of proposed change (consultation for amendment to a MOS),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NPRM,nprm,Notice of proposed rule making,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NSC,nsc,Nil Significant Cloud,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NTA,nta,No TAF Amendment,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NTL,ntl,National,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NTS,nts,Negative Torque Sensing System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NTSB,ntsb,National Transportation Safety Board (of the USA),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NTZ,ntz,No-transgression zone,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NVD,nvd,Night Vision Device,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NVED,nved,Night Vision Enhancement Devices,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NVET,nvet,National vocational education and training,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NVFR,nvfr,Night Visual Flight Rules,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NVG,nvg,Night Vision Goggles (by the MIL),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NVIS,nvis,Night Vision Imaging Systems,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NW,nw,North-West,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NXT,nxt,Next,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NZ,nz,New Zealand,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NZ CAA,nz caa,New Zealand Civil Aviation Authority,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
NZS,nzs,New Zealand Standard,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
O/R,o/r,On Request,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OAR,oar,Office of Airspace Regulation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OAT,oat,Outside Air Transport,Outside Air Temperature,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OBPR,obpr,Office of Best Practice Regulation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OBS,obs,Omni Bearing Selector,"Observe, Observed, Observation",,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OBSC,obsc,"Obscure, Obscured, Obscuring",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OBST,obst,Obstacle,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OBSTR,obstr,Obstruction,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OC,oc,Operating Certificate,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OCA,oca,Obstacle Clearing Altitude,Oceanic Control Area,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OCC,occ,Occulting (light),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OCH,och,Obstacle Clearance Height,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OCNL,ocnl,"Occasional, Occasionally",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OCTA,octa,Outside Control Area,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OCTR,octr,Outside Control Zone,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OEI,oei,One Engine Inoperative,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OEM,oem,Original Equipment Manufacturer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OFZ,ofz,Obstacle Free Zone,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OHD,ohd,Overhead,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OHS,ohs,Occupation Health and Safety,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OHSMS,ohsms,Occupational Health and Safety Management Systems,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OIS,ois,Obstacle Identification Surface,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OLC,olc,Office of Legal Counsel,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OLDI,oldi,On-line Data Interchange,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OLS,ols,Obstacle Limitation Surface,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OM,om,Operations Manual,Outer Marker,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OPA,opa,"Opaque, white type of ice formation",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OPC,opc,Office of Parliamentary Counsel,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OPMET,opmet,Operational Meteorological,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OPN,opn,Operational Notification Message (message type designator),"Open, Opening, Opened",,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OPR,opr,"Operator, Operate, Operative, Operating, Operational",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OPS,ops,Operations,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OSIP,osip,Overhaul and Special Inspections Periods,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OT,ot,Other Times,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OTAC,otac,Overseas Territories Aviation Circulars,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OTAR,otar,Overseas Territories Aviation Requirements,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OTLK,otlk,Outlook (used in Sigmet messages for volcanic ash and tropical cyclones),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OTP,otp,On Top,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OUBD,oubd,Outboard,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OVC,ovc,Overcast,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
OW,ow,Over Water,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
